sentiment,text,selected_text
neutral,@jennygnow it is sad... i feel bad when i hear it. they look like mid 30's. it's like something u wld see on lifetime, @jennygnow it is sad... i feel bad when i hear it. they look like mid 30's. it's like something u wld see on lifetime
positive,fab sunny day, fab
positive,@james_waters was until i had to go home 'cause the presentation ended  x, 'cause the presentation ended
positive,@josiechang i don't get it..., i don't get it...
positive,"@seicra_the_bc well, in the end, everyone's happy (most of the time)", happy
positive,"might be seeing my god mothers little boy in a bit  . leon, so cute &lt;3333", so cute
negative,i'm jumping off the nearest bridge if i can't have it, i'm jumping off the nearest bridge if i can't have it
negative,@kikirowr downside though is that you're breaking the thread., downside
negative,@jazzled4life doubtful! it's going to be on 24/2!, doubtful!
positive,off to pick up tj from his last full day of school! only 3 more half days left, off to pick up tj from his last full day of school! only 3 more half days left
negative,stuck in some shitty traffic! this day is going to be crap, stuck in some shitty
positive,ouutside in the city talkin to trey trey  i misssed him, i misssed him
neutral,"mayne, its getting hot out here in georgia.."," mayne, its getting hot out here in georgia.."
neutral,to @neenz i was going to reply to your &quot;what do ppl in hi do on the weekend&quot; post...and then i realized my top choice was work., to @neenz i was going to reply to your &quot;what do ppl in hi do on the weekend&quot; post...and then i realized my top choice was work.
negative,and they are really censoring over at nin.com and i really hesitate to go over there are talk about this, hesitate
positive,@80smusicthebest i'm doing okay, i'm doing okay
positive,"@sashagrey since i'm reading the twilight series and watching underworld today, i gotta say...perfect pic for my day",perfect
neutral,&quot;family bird is the word&quot; i &lt;3 family guy, &quot;family bird is the word&quot; i &lt;3 family guy
neutral,"@jonathanrknight http://twitpic.com/4w9h2 better in person had to send u this, i feel like mouse from &quot;the american tail&quot; . over in ri!"," @jonathanrknight http://twitpic.com/4w9h2 better in person had to send u this, i feel like mouse from &quot;the american tail&quot; . over in ri!"
positive,"@darrylep i just have one, he is 14 months. i don't think he realizes that it is mother's day tomorrow. lol!", lol!
positive,http://twitpic.com/67bpd - this store at the airport is as close as we'll get to wdw during this trip., this store at the airport is as close as we'll get to wdw during this trip.
negative,"@emilmor mmm, wanna go see little big town next sunday @ 4 @ chesapeake jubilee?"," @emilmor mmm, wanna go see little big town next sunday @ 4 @ chesapeake jubilee?"
neutral,"@ravenousraven check out her new song &quot;sentimental, wat-a-joke-ental&quot; she's a fren  www.last.fm/music/marple+meg"," @ravenousraven check out her new song &quot;sentimental, wat-a-joke-ental&quot; she's a fren www.last.fm/music/marple+meg"
neutral,@mrgetmoneyent ahhhhh from work, @mrgetmoneyent ahhhhh from work
positive,looking forward to sunday b/c the weather should be warm and sunny, looking forward
positive,@nak1a &quot;if there's a camel up a hill&quot; and &quot;i'll give you plankton&quot; ....hilarious!!, ....hilarious!!
positive,@vestybaby i went to chicago for a few days and was twitterless while i was there, @vestybaby i went to chicago for a few days and was twitterless while i was there
negative,"leaving for paris tonight. trying to cram all my assignments for the week done in two days.   i think i'm half done, i hope."," i think i'm half done, i hope."
negative,i didn't find my dress, i didn't find my dress
positive,@sagetune lucky you! they are my favorite flowers ever and they only come around once a year. wish twitter had a scratch and sniff option, favorite
negative,"i'd rather be at #beatweetup.  instead, i'm taking my cue from @vromans and shutting down. @wirechairs @annacarollo reprezent-zent!", shutting down.
neutral,sad news - young quinland building's white-gloved elevator operator has retired   http://tinyurl.com/ne6mlu, sad news - young quinland building's white-gloved elevator operator has retired http://tinyurl.com/ne6mlu
negative,@jakeofficial how about give golf lessons?? and sing to your student taking lessons??    (jakeowen2009 live &gt; http://ustre.am/2s1y), @jakeofficial how about give golf lessons?? and sing to your student taking lessons??
negative,really wish i could have gone to @bikeradar this weekend, really wish i could have gone to @bikeradar this weekend
neutral,@dyedinthewool scooby is yours. because he's different than the rest, @dyedinthewool scooby is yours. because he's different than the rest
negative,why did reel big fish cover edna's goldfish, why did reel big fish cover edna's goldfish
negative,"@katrinasummer dude, i hear ya. i'll be 26 two weeks from tomorrow. i feel old.", i feel old.
negative,i can't sleep without him nearby, i can't sleep without him nearby
positive,"swanage tomorrow and going to stay in bourton on the water thurs/fri!  hoping for sun  arcades and tea and pretty things, here we come", hoping
positive,like why the fuck am i still up...maybe because im drunk as hell and had a great time tonight..shit was crazy, had a great
negative,left &quot;up&quot; due to out-of-focus projection.   hopefully my complaints to theater management will get it fixed for everyone else still there., complaints
positive,never twittered b4 but here i am wondering what to do next...jared?!?!, wondering
neutral,"@jboriginal yip, that would be a sign that you've been on the dodgy sites jo... eish boet, it ain't cool"," @jboriginal yip, that would be a sign that you've been on the dodgy sites jo... eish boet, it ain't cool"
positive,undervote is just going on  i'm all overalled up, i'm all overalled up
neutral,@subzero77 haha okay. i'm getting the box sets for my birthday anyway, @subzero77 haha okay. i'm getting the box sets for my birthday anyway
negative,@dorritos @repressd i get migranes.. so @repressd.. that leaves you to either arthritis and/or gout!, i get migranes..
negative,is wondering what happened to the sun? damn may grey!, damn
neutral,@alexa_13 you are, @alexa_13 you are
neutral,"@moochergirl i'm originally from seattle, i've just lived everywhere else, including many places in the south"," @moochergirl i'm originally from seattle, i've just lived everywhere else, including many places in the south"
negative,@asacavalli wish i was there wit you. some other friend of mine r down there as well.  this weekend i'll be working, wish i was there wit you.
negative,"i'm so sick, it's ridiculous."," i'm so sick, it's ridiculous."
negative,@ftskirstin im depressed like so baddddd., im depressed like so baddddd.
neutral,@lemonchild45 what's the matter chickadee?, @lemonchild45 what's the matter chickadee?
positive,fashion show is done &amp; only one slip...now cooking &amp; having a glass of wine or two, fashion show is done &amp; only one slip...now cooking &amp; having a glass of wine or two
neutral,"just returned from huntsville. saw sam houston's grave, went to a prison museum and ate chocolate dipped strawberries"," just returned from huntsville. saw sam houston's grave, went to a prison museum and ate chocolate dipped strawberries"
positive,well that rowing machine has paid off this week as i've lost 3lbs this week, paid off
positive,@merlene cool! you're in the 5-figure-tweeter club., cool!
negative,is hittin' the ole dusty trail w/ miss morgan., miss morgan.
negative,@llcooljew poor dear. your fellow busty mavens have been there.  what gym do you belong to? peac?, poor dear.
neutral,@homeworld http://is.gd/yioj, @homeworld http://is.gd/yioj
negative,doesn't sound so great at all  http://is.gd/jslb #palmpre, doesn't sound so great
positive,supernatural tonight  yay, yay
positive,"happy &quot;star wars&quot; day, twitters.  http://migre.me/sie :*", happy
negative,aaaaaaaa!! i hate fucking winshit!!, hate
neutral,i have to choose between @pink and @essendon_fc on sunday and @pink wins. i'm shattered.  why can't i be healthy enough to go to both?, i have to choose between @pink and @essendon_fc on sunday and @pink wins. i'm shattered. why can't i be healthy enough to go to both?
neutral,wonderful day for my photo practicum of the fotoschool. i wouldn't mind some typical dutch clouds though, wonderful day for my photo practicum of the fotoschool. i wouldn't mind some typical dutch clouds though
negative,@gustaf_nk wouldn't call that cool or dangerous. reckon it fits into the stupid category, stupid category
neutral,no want work, no want work
negative,@sophieeeelouise how do you vote? i'm on the website but can't find how to vote., can't find how to vote.
negative,@kurtismarsh too far to go unless the prize is in the millions.  we know who wins, too far to go
negative,"@danger_skies  cus it all got too much attention in the end, shes embarrased and i think it just got outta hand a bit poor girl  xx", embarrased
negative,feeling nauseous and can't sleep., nauseous
positive,im very sorry., im very sorry.
positive,just want to wish everyond a happy mother's day. hope it's a great one!, happy
negative,http://snipurl.com/hbp3g  canalway cavalcade over in 'little venice' near warwick avenue - on today too, canalway cavalcade over in 'little venice' near warwick avenue - on today too
